age,credit_score,loan_amount,loan_term_months,employment_length_years,annual_income,debt_to_income_ratio,open_accounts,delinquency_history,loan_default
56,314,12365.41,12,1,86879.97,0.37,12,1,0
69,491,20154.39,24,11,31057.33,0.03,4,0,0
46,784,30129.34,24,25,91353.46,0.2,12,0,0
32,327,25341.58,48,22,69397.28,0.29,2,0,0
60,338,49401.49,48,17,98927.59,0.1,7,0,1
25,572,7685.55,48,31,70534.43,0.59,13,2,1
38,530,35062.08,24,37,51238.89,0.13,5,0,1
56,385,20811.62,24,2,32345.49,0.09,4,1,0
36,773,21981.78,48,37,60939.4,0.13,12,0,0
40,425,36162.29,48,2,32563.83,0.46,14,0,1
28,836,34929.37,60,29,42996.6,0.26,8,1,0
28,444,49571.54,48,0,148353.7,0.34,9,0,1
41,824,7291.32,60,29,77733.46,0.02,9,1,0
53,511,6101.37,36,31,89143.33,0.03,3,0,0
57,324,36492.6,24,27,133570.41,0.27,3,0,1
41,693,29340.96,48,20,149423.96,0.49,5,1,1
20,366,14433.87,24,12,95752.88,0.53,5,2,1
39,532,4891.55,24,26,125621.6,0.06,10,1,0
19,408,5197.25,24,35,62502.33,0.33,2,0,0
41,445,44815.35,36,6,59746.71,0.55,1,0,1
61,410,10401.5,12,21,72351.48,0.24,8,0,1
47,527,16845.21,48,9,107425.94,0.5,3,0,0
55,410,12106.16,12,38,108684.92,0.09,1,0,0
19,769,18394.82,12,14,60981.13,0.56,1,0,0
38,333,4401.77,12,14,37317.29,0.45,11,1,0
50,668,26433.93,24,3,102211.51,0.57,2,1,1
29,724,4313.02,60,31,36682.36,0.41,6,0,0
39,817,40217.47,24,22,95204.03,0.22,6,0,0
61,581,12451.89,24,5,110144.88,0.56,14,0,1
42,619,27460.58,12,23,111079.49,0.17,3,0,0
66,742,44123.88,24,19,117951.37,0.21,12,3,0
44,614,32892.99,12,36,133471.72,0.42,4,1,1
59,676,27114.93,60,19,84994.67,0.46,12,0,1
45,588,16892.35,48,11,114932.39,0.56,13,1,0
33,736,17317.09,12,32,100492.46,0.13,2,0,0
32,576,33804.86,60,27,44263.19,0.48,2,0,1
64,802,49712.83,48,7,23339.65,0.45,7,0,1
68,815,33430.12,36,0,56990.38,0.05,13,1,1
61,649,28331.39,12,36,77594.38,0.24,1,1,1
69,745,36801.88,12,21,100223.77,0.18,7,0,0
20,649,23795.08,36,5,130494.71,0.19,14,0,0
54,436,3946.97,36,20,45511.94,0.59,12,0,0
68,542,28552.54,12,31,36321.47,0.39,14,0,0
24,842,47923.64,36,34,145252.39,0.43,12,2,1
38,339,9589.84,24,14,34045.79,0.59,14,2,1
26,528,34810.24,48,4,82203.84,0.23,1,1,1
56,847,10845.75,48,5,96123.28,0.48,14,0,1
35,522,27255.56,48,24,90378.67,0.27,6,0,1
21,305,5737.15,24,39,31184.18,0.52,3,0,1
42,621,23068.18,36,28,27413.5,0.12,8,0,0
31,767,38052.0,60,6,33712.85,0.57,6,1,0
67,374,18031.0,36,39,96126.4,0.14,11,0,1
26,303,33580.67,12,12,90764.84,0.2,2,0,0
43,417,39977.05,48,37,50386.3,0.46,8,0,1
